time;life;love;night;home;men;wife;tv;baby;work;family;honey;god;father;promise;trust;hell;heart;mom;babe;mother;daughter;women;son;money;ideas;room;cars;chance;daddy;company;reason;face;guess;husband;phone;operation;girls;guys;dad;mind;marriage;problems;power;world;friend;hope;lady;sweetheart;brother;fault;sister;today;pity;truth;agent;office;job;morning;police;minute;drugs;hate;wedding;fun;child;excuse;fire;hospital;fact;house;valley;station;mistake;honeymoon;deal;lie;trouble;business;boys;compassion;school;enchantment;sleep;news;change;meaning;town;computer;system;party;hair;case;question;television;information;doctor;check;crash;team;Gender
;;;5;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;6;4;;;10;;;;;;;;;Male
;;;;;;;6;;;;;;4;8;;;;7;;;;;;;;;;;;;;7;7;;;;;;;;;;;;;5;;;7;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;4;;;;;;;;;;;Male
;;;;;8;;;;;8;;;;7;;;;;;;;;;;;;;7;;;;;;;;4;;;;;;;3;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;6;;;;;;;;;;8;;;;;;;;;;;;;6;;;;Female
;;;5;;;2;;;;;;;;;;5;;;;;;;5;;;;;6;;6;;;;;;;;;;;;5;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;8;;;;;;;;;;;;;;;Female
;;9;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;3;;;;;;;;;;8;;;;;7;;;;;;;;;;7;;;;;5;;;;;;;;;6;;;;;;5;;;;;;;;;;;;;;;;;Male
;;;;;;;;7;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;6;5;;;5;;;;7;;;;;;;;;;6;;;;;;;;4;;;;;;;5;Male
;;;;;10;;;;;;;;;;;;;;;;;;;;4;;;;;;;;6;;;;;;;;;7;;;;;;;;;;;;;;;4;;;6;;8;;;;;;;;;6;;;;;;;;10;;;;;;;;;;;;;;;6;;;;;;Male
;6;;;;;;;;;;;5;;;;;;9;;;8;;;;;;4;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;8;;;;;;;;;;;;;;5;;;;;;;;;;3;;Male
4;;;5;;;;;8;;;;;;;;;;;;;8;;;5;;;;;;;5;;;;;;;;;;;;;;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;5;;;;;;;;;;;Male
3;;;;;8;;;;;;;;7;;;3;;;;;;;;8;;;;;;;;;;;;;4;;;;;;;;;;;;;;5;5;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;Male
5;;;6;7;;;;;4;;;;;;;;;9;;;;5;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;8;;;;;;;;;;;;;;;3;;;;;;;;;;;Male
;;;;;;;;;;;;;1;;;;;10;;;;;;;;8;;;1;;;8;;;;;;4;;;;7;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;7;Female
;;;;;;;;10;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;8;;;;;;;;;;6;;;;;3;;;;10;;;;;;;;8;;;;;;4;2;;;;;;;;;;;;;;;;10;;;;;;Male
