"","Statement","topic","wordcount","charcount"
"122"," No, but hand in more applications, but then at least you get an interview as a reply, that you are fit for the job, or its not somethingat leastlets say you send 50 interviews, you send 50 applications..at least you get a reply.","Labour market",44,236
"123","Roughly the same as it is now. That there should be an incentive to work. This thing about how the Danes as such failed in the DREAM survey. We have every opportunity to earn more money than we do. And yet we fail in a survey like that.","Labour market",48,236
"124","  In that case, the self-employed would be out. Because it would be in the employers interest to hire someone, at the same time they could fire someone if they were dissatisfied with their work. Thered be less of the self-employed.","Labour market",41,236
"125","  I think that someone who is dissatisfied with a worker, they can dismiss him, but this person surely has a talent for something else and would get a job elsewhere. So that we could...that wouldnt be a problem on the labour market.","Labour market",43,236
"126"," But could we have that, so that the wages arent pushed further down? Because that happens. Maybe not in public sector, but in the private we have seen an exploitation of work force through the last 10 to 15 years. That is a problem.","Econ. Inequality",45,237
"127"," I think it was well described, this risk that people would take the money and run so to speak, so its better to tax it only once. Otherwise people would hide their money somewhere else, so if youre going to tax it, just do it once.","Econ. Inequality",47,237
"128","We must just avoid a situation where you have working poor, like in Germany, the US and England. It's not okay to slave away working 2-3 jobs and still be unable to afford basic things such as education for your children and food to eat.","Econ. Inequality",45,237
"129"," A measure for adults  for instance children have 10 mandatory school years, and adults should have completed at least 3. Everyone, regardless of who. Maybe they had 7 years in Turkey or wherever, but they have to go to adult school.","Immigration",43,237
"130","Isn't that more to do with refugees rather than with immigration? Normally you need to have a job when you immigrate, to show that you can support yourself and contribute. So it's more about the number of refugees rather than immigrants.","Immigration",41,237
"131","Nonsense. A lot of people want to. That's why I think that we need to have a system that says that if you want to stay in Denmark then we won't support you for more than six months or a year, then you should be able to fend for yourself.","Immigration",50,237
"132"," What about a woman who doesn't want children, plenty of women don't want children, say, hang on, why should he get more just because his wife's at home having a child?  I don't want children, I want exactly the same as he's getting.","Gender",44,237
"133"," I'm a great believer in that it shouldn't make any difference whether somebody's black, white, beige, man, woman, whatever.  If there's a job available it should be the best person for that job gets the job, do you know what I mean?","Gender",43,237
"134"," At the moment I think it's 15 hours a week from three plus that you're entitled to free childcare.  What about if the mum or dad, parents are working, that they get more free childcare.  That could be <a3>25 a week for working parents.","Gender",45,237
"135","  Or for example more exposed jobs, for example jobs behind the counter. In a bank or I don't know, private companies  it often happens that employers prefer for women to do these jobs, because they flirt with clients at the counter.","Gender",43,237
"136"," If we should have a higher pension age, we have to leave todays model where you can retire at 62, or from 62 and up. Then we have to go back to something fixed. You dont receive pension from the state before you are 75 for example.","Generations",48,237
"137","  So that the class teacher works 2, 3 hours every day and has to drive somewhere every day. And this is something we have already mentioned, that it will be necessary for some to drive longer distances to work, at the end of the day.","Generations",46,237
"138","  You said, I apologize, that you wouldnt have the children burdened, but I also think a bit differently, that also the children should start paying back to the elderly and their parents, today thats already written down in the law.","Generations",41,237
"139","There must not be a minimum wage. It's up to the social partners to settle that. It needs to be controlled so that if a Pole comes here to work then someone can say 'Whoa, you're being underpaid'. Don't we have something like that today?","Labour market",45,237
"140"," You could reduce the soccer players wages, maybe not by half, because theyre accustomed to that income, but there should be some regulation of those pay levels. You shouldnt be able to earn 80 million for doing something like that.","Econ. Inequality",41,238
"141"," But everything we have talked about is connected. If we improve our attitude so that they can get a job sooner, they become tax payers and pay tax. The tax money they pay pays for the Norwegian classes and integration. It will circle.","Immigration",44,238
"142","But if we look at the numbers. Do you get the feeling that there are many who try to get away with not contributing? Or are they prevented from contributing because we have a system that makes it difficult for them to get a foothold here?","Immigration",46,238
"143","  Australia is turning them back. There are many countries acting wisely... Canada also set much stricter rules. The thing is that...look, I agree with multiculturalism, of course, it needs to exist, but to what degree and in what way.","Immigration",40,238
"144"," But I was just going to say, if the state do pay into childcare, the mum is encouraged to go back to work rather than having to think, well, instead of paying the nursery, Id rather stay home until the childs in full-time education.","Gender",45,238
"145","  And I see with those larger companies that the children know each other like the parents do, if its a company with an own kindergarten, its a sort of...socializing, yes. We dont have that much of that in Slovenia. Perhaps were...","Gender",42,238
"146","We need to appreciate that group. It is incredibly annoying, looking at it from the perspective of generational knowledge, to see that the experience that you have in your field isn't being used by young people who lack the historic flair","Generations",41,238
"147","  Here things go hand in hand, if there are more services for the elderly, there will be more of those providing care, providing the services, and there will be more money for the budget, from the contributions and taxes they will pay.","Generations",43,238
"148"," But if they sell their products to us, we buy it, we are the public, we act as if we don't have any power - weve sat here and said today that various companies would renew.  They come to this country, there are a lot of people that...","Econ. Inequality",49,239
"149"," The work of public utility the way I see it actually, but then one has to define what is of public utility? It is of public utility to clean the office area. Doesnt have to be very particular when it comes to what is of public utility.","Econ. Inequality",48,239
"150"," It is a lot of talking about education. Get them educated and to work, but something has to be done to make it easy for a company to start up in Norway, so they can hire people. If we dont have jobs, it doesnt help much with schools.","Econ. Inequality",49,239
"151"," Yes,  last week is it or the week before that if a house is left by a tenant for more than a year it gets charged twice the council tax or something like that, so then it encourages them to put it back on the market.","Immigration",49,239
"152","  I am afraid however, that we are going to become the second New York, because I am afraid that we are going to become a single state, sorry, one single city. Well, pollution is going to be so bad, because there will be so many people.","Immigration",47,239
"153","  Well, precisely due to these strict conditions, perhaps someone is an expert in their field and we, firstly, want or need him, and such a person would inform himself and hed feel that all of this interferes too much with his culture.","Immigration",43,239
"154","There was a sound proposal; organising it in the same way as when people pay into the ATP pension fund. All workers pay a monthly contribution and then the employer might double or triple that so that after a time there's some money there.","Gender",44,239
"155"," But then is that taking any strain off your government pension? And would you then not be entitled toif youre paying more into your private pension, does that then come away from what youre going to be entitled from the government?","Generations",42,239
"156"," Maybe youd have to have a program where daycare centers in the vicinity would be obligated to take those children. This wouldnt be ideal, because parents might want to choose a different daycare, but this would be based on closeness.","Labour market",41,239
"157","It's not because I believe that people should be pushed out, but it just seems as if it's final. What's annoying is that there may be some who could get some quality still and be able to come back later. We do change as we go through life.","Labour market",48,239
"158"," Sorry, I like that point, where we concentrate generically now with education on the intellectuals, the people that are academically able.  I dont think we do enough for people that want to be come, you know, plumbers, skilled workers.","Econ. Inequality",40,240
"159"," No, what is regulated is that you get the level of the country you are in. so if out find yourself in Norway, you get Norwegian level. But if you as a Bulgarian choose to return to Bulgaria, you dont have the right for Norwegian level.","Immigration",47,240
"160"," No, but I dont think we can sustain the economy and welfare we have today. I believe everyone has to take more responsibility for his own pension with saving plans. Cant means-test something that people have saved up their whole life.","Generations",42,240
"161","  OK, if you made it through each month with 500 EURO, then that's good. You should therefore now be entitled to a decent pension. And if your pay was 2 thousand per month  OK, so you were contributing more, but you earned more as well.","Generations",47,240
"162"," Just make rules for them to follow. Just like with foreigner/immigrant quotas or other requirements and regulations that have to be followed. A certain number of parents with children for such companies, and public agencies in any case.","Labour market",39,240
"163","  I think that the only ones on the losing end are those who are hiding right now, I'm not going to say that they are hiding behind employ unemployment, because they are not prepared to do something by themselves in order to find a job.","Labour market",46,240
"164"," But then wouldnt it be an idea if the work experience could be before they choose their GCSEs because they could be choosing thinking thats what I want to do, so on paper they might want to do that, but hands on work you might do that.","Econ. Inequality",48,241
"165"," If you look at R<f8>dts politics (Political party on the far left side), you cant earn more than a million. Everything above a million is taxed, but that is perhaps a little extreme though. But it could be made more progressive, I believe.","Econ. Inequality",44,241
"166"," Has to be beneficial to work, tax-related. As a measure it has to be. Control wage inequalities through tax. If it is like in other countries close to us where you pay 70 percent marginal tax, people bother to work the extra hour, right.","Econ. Inequality",45,241
"167"," Because generally go to hospital and we report in, you know, at the A&E reception desk, you just give your information but there is no .","Immigration",41,241
"168"," You need to look at the limit that you earn  voluntary because there are a lot of companies that do voluntary and they pay quite a lot of money and its not means tested and you pay no tax on it.  Thats all Im saying.","Immigration",48,241
"169"," Yes, they do. And they cost an extreme amount of money. Should we set a limit to how many times you can have transition benefit? The Brochmann-committee suggested that. They were appointed by the government and gave their report in 2011.","Immigration",42,241
"170"," Its very expensive, very expensive.  If you've got a job and you're not earning loads and loads of money, and you have a baby and then you go back to work, half of your money, well even more than half of your money would go on childcare.","Gender",48,241
"171"," I also touched upon equal pay for equal work for women and men. Adjustments to have a family life. I think it can benefit Norway in general if one wants that too. Many people wait with children. Could have something to do with career too.","Gender",46,241
"172","I think maybe we should regulate the number of people we accept onto each degree annually. That we sort of attempted to match the number of people getting a certain qualification with the number of qualified people required in a given field.","Generations",42,241
"173","  Healthier lifestyle. And theyll be able to afford more if theyll have a higher pension than they do now, so raise the minimum pension so that theyll be able to afford more and lead a better life, eat healthy food and stuff like that.","Generations",45,241
"174"," Jobseeker's allowance is for unemployment.  It doesn't mean to say that 'cause you're unemployed, that you're seeking a job or you want a job.  It just means that you're unemployed.  I used to be unemployed because I didn't want to work.","Labour market",42,241
"175"," When you take this top point that one should get the same wage for the same work throughout different regions of Germany  in Bavaria, the building caretaker earns more than in Berlin for instance. That would fit then. Performance based.","Labour market",42,241
